participant_id,group,nationality,age,gender,year_of_study,w1,w2,w3,w4,w5,w6,w7,w4r,w6r,b1,b2,b3,b4,b5,d1,d2,d3,d4,wb_mean,bel_mean,dis_mean,open_response
P219,International,India,28,Male,1,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.857142857142857,2.8,3.25,Often feel like an outsider during campus events.
P015,UK,England,21,Male,1,5.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,5.0,6.0,6.0,5.0,6.0,1.0,2.0,2.0,1.0,4.0,5.6,1.5,Not really
P159,EU,France,27,Male,3,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,6.0,5.0,4.0,5.0,2.0,3.0,2.0,2.0,2.5714285714285716,5.0,2.25,"UK social scenes are quieter than I expected—more laid-back, but I've found great friends."
P034,UK,England,25,Female,2,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,6.0,7.0,7.0,7.0,,1.0,1.0,1.0,2.0,3.857142857142857,6.75,1.25,I miss home cooking but manage with budget meals.
P237,International,Brazil,24,Male,1,4.0,4.0,3.0,1.0,3.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.7142857142857144,4.2,3.0,"Celebrate small wins, like passing exams, to stay motivated."
P031,UK,England,21,Male,2,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,3.2857142857142856,4.6,2.0,Rent and bills are my biggest worry right now.
P181,EU,Netherlands,25,Female,2,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,7.0,6.0,6.0,6.0,6.0,1.0,1.0,2.0,1.0,3.857142857142857,6.2,1.25,"It's been challenging at times, but I'm proud of how much I've grown."
P122,UK,England,21,Male,1,4.0,4.0,2.0,4.0,4.0,1.0,4.0,2.0,5.0,7.0,7.0,6.0,7.0,7.0,2.0,2.0,2.0,1.0,3.5714285714285716,6.8,1.75,I'm glad my accommodation is near campus.
P054,UK,England,28,Male,2,3.0,4.0,4.0,2.0,3.0,1.0,3.0,4.0,5.0,6.0,6.0,6.0,4.0,5.0,1.0,1.0,1.0,1.0,3.7142857142857144,5.4,1.0,
P249,International,China,26,Female,1,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,3.0,4.0,3.0,3.0,2.7142857142857144,5.2,3.25,"Family support via video calls helps, but loneliness persists."
P289,International,Nigeria,21,Female,2,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.5714285714285716,3.6,3.0,Small acts of kindness from peers make a big difference.
P086,UK,England,29,Female,2,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,3.2857142857142856,4.6,1.75,I sometimes feel pressure to overcommit.
P081,UK,England,24,Female,1,5.0,5.0,5.0,1.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,1.0,1.0,1.0,1.0,4.714285714285714,5.0,1.0,"My flat has a great vibe, but maintenance is slow."
P002,UK,England,28,Male,1,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.857142857142857,3.0,1.75,
P118,UK,England,24,Male,1,3.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,2.0,1.0,2.0,2.0,2.857142857142857,4.6,1.75,Rent and bills are my biggest worry right now.
P287,International,Nigeria,25,Female,1,4.0,4.0,5.0,2.0,5.0,1.0,5.0,4.0,5.0,4.0,5.0,6.0,6.0,4.0,2.0,2.0,3.0,3.0,4.571428571428571,5.0,2.5,"It's lonely sometimes, but I remind myself why I'm here."
P133,EU,Poland,22,Female,2,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.7142857142857144,4.2,2.75,
P173,EU,Portugal,24,Male,2,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,3.0,2.0,3.0,4.2,2.25,"UK social life feels more formal than in Spain, but I'm learning to navigate it."
P009,UK,England,25,Male,3,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,6.0,5.0,5.0,6.0,6.0,2.0,1.0,2.0,1.0,3.5714285714285716,5.6,1.5,Budgeting is a skill I'm still learning.
P019,UK,Wales,27,Female,1,4.0,3.0,4.0,1.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,2.0,2.0,2.0,1.0,3.5714285714285716,5.2,1.75,No
P297,International,China,25,Female,3,4.0,4.0,5.0,2.0,5.0,2.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,4.0,1.0,1.0,1.0,1.0,4.285714285714286,5.4,1.0,"Family expects me to excel academically, adding pressure."
P129,UK,England,23,Female,1,4.0,3.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,6.0,7.0,6.0,7.0,6.0,1.0,1.0,1.0,1.0,4.0,6.4,1.0,Workshops on time management would be helpful.
P231,International,Malaysia,29,Female,3,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.5714285714285716,4.0,3.0,
P180,EU,France,30,Male,3,2.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.8,1.5,"Language nuances trip me up, but I'm getting better with practice."
P022,UK,England,27,Female,1,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,5.0,6.0,2.0,3.0,,2.0,3.142857142857143,5.4,2.3333333333333335,Social life is great—lots of events and friends to keep me grounded.
P006,UK,England,25,Non-Binary,2,,4.0,4.0,2.0,4.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,4.333333333333333,4.8,1.25,Social life is great—lots of events and friends to keep me grounded.
P058,UK,England,24,Male,1,5.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,3.2857142857142856,4.0,1.5,"Lectures are engaging, but reading lists are overwhelming."
P259,International,Brazil,24,Male,2,3.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.7142857142857144,3.2,2.75,"Learned to advocate for myself, which boosts my confidence."
P203,EU,Sweden,21,Male,1,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.2857142857142856,3.2,2.75,"Financial stress is a constant, but I'm focusing on saving for the future."
P099,UK,Scotland,22,Female,2,4.0,4.0,5.0,2.0,4.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,2.0,2.0,2.0,2.0,4.0,5.2,2.0,"Workload's tough, but I manage with time blocks and support groups."
P090,UK,England,28,Female,1,3.0,3.0,3.0,3.0,4.0,2.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,1.0,2.0,3.5714285714285716,4.4,1.75,Food costs are a struggle; campus cafes are pricey.
P214,EU,Netherlands,26,Female,1,2.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.4285714285714284,4.2,1.75,"I'm loving the freedom to explore, but homesickness hits when I'm alone."
P189,EU,Spain,25,Male,3,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.2857142857142856,4.2,3.0,"Adjusting to UK culture took time, but the support from my university made it easier."
P072,UK,Northern Ireland,26,Female,2,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,6.0,5.0,7.0,2.0,1.0,1.0,2.0,3.142857142857143,6.4,1.5,"Lectures are engaging, but reading lists are overwhelming."
P232,International,India,21,Male,1,5.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0,4.0,5.0,6.0,4.0,4.0,5.0,1.0,1.0,2.0,2.0,4.0,4.8,1.5,"Cultural adjustment is tough, but I'm learning to navigate it."
P068,UK,Scotland,29,Male,2,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,3.0,2.7142857142857144,4.4,2.25,Rent and bills are my biggest worry right now.
P128,UK,England,32,Female,1,3.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.857142857142857,3.2,1.75,Nothing to add
P144,EU,France,27,Female,2,4.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,2.5714285714285716,4.2,2.75,"UK social scenes are quieter than I expected—more laid-back, but I've found great friends."
P071,UK,England,28,Female,1,3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,5.0,4.0,4.0,5.0,4.0,2.0,1.0,2.0,1.0,2.4285714285714284,4.4,1.5,I'd like clearer guidelines on assignment deadlines.
P278,International,China,23,Female,2,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,1.8571428571428572,2.6,3.25,"Sometimes feel my culture is exoticized, which is hurtful."
P140,EU,Germany,27,Male,2,3.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.5714285714285716,4.0,3.25,"Adjusting to the pace of life here is harder than I thought, but I'm getting better."
P265,International,Pakistan,23,Female,2,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,3.142857142857143,2.4,3.75,"Some professors assume I lack motivation, which isn't true."
P075,UK,England,32,Male,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,6.0,5.0,5.0,4.0,1.0,1.0,2.0,1.0,3.142857142857143,4.8,1.25,"Balancing studies and socialising is tricky, but I prioritise."
P158,EU,France,24,Non-Binary,1,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,2.0,3.4285714285714284,4.8,1.75,"Missing my home country's cuisine, but I'm learning to cook my own dishes."
P217,International,China,29,Female,2,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,2.2857142857142856,5.0,2.75,Sometimes feel my accent makes others dismiss my ideas.
P283,International,India,28,Male,2,2.0,1.0,1.0,5.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,1.4285714285714286,1.0,4.75,"Discrimination in campus services, like being ignored by staff."
P204,EU,Italy,26,Female,1,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,2.0,2.5714285714285716,4.6,2.5,"The language is a hurdle, but I'm improving thanks to language apps and friends."
P040,UK,Scotland,28,Male,1,5.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,6.0,6.0,5.0,5.0,6.0,3.0,2.0,3.0,2.0,4.0,5.6,2.5,I feel supported by my peers and staff.
P288,International,China,27,Female,2,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,5.0,4.0,6.0,5.0,6.0,2.0,3.0,2.0,3.0,3.7142857142857144,5.2,2.5,
P264,International,India,21,Non-Binary,1,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.142857142857143,3.4,2.0,Often feel like an outsider during campus events.
P236,International,China,24,Male,2,3.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,6.0,5.0,6.0,5.0,6.0,2.0,2.0,2.0,1.0,3.0,5.6,1.75,Missing family's cooking and traditions deeply affects my mood.
P039,UK,England,21,Male,3,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,5.0,6.0,5.0,5.0,5.0,1.0,1.0,2.0,1.0,3.857142857142857,5.2,1.25,No
P117,UK,England,25,Female,1,5.0,5.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,1.0,2.0,2.0,2.0,4.857142857142857,7.0,1.75,Socialising helps me stay focused; I'd do more if I had time.
P098,UK,England,25,Male,1,5.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,4.857142857142857,3.6,2.25,"Balancing studies and socialising is tricky, but I prioritise."
P225,International,China,26,Male,1,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,6.0,5.0,5.0,3.0,2.0,1.0,2.0,2.857142857142857,5.0,2.0,
P176,EU,France,29,Female,2,4.0,4.0,5.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,3.0,3.0,3.0,2.0,3.857142857142857,5.2,2.75,"The language is a hurdle, but I'm improving thanks to language apps and friends."
P023,UK,Scotland,25,Female,1,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,6.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,3.142857142857143,5.8,1.25,Late-night study sessions are common but I try to sleep.
P155,EU,Spain,27,Male,1,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,6.0,4.0,5.0,5.0,6.0,1.0,1.0,1.0,1.0,3.7142857142857144,5.2,1.0,UK culture feels polite but distant—struggling to feel fully connected.
P160,EU,Italy,23,Female,1,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,3.5714285714285716,7.0,2.0,"The language is a hurdle, but I'm improving thanks to language apps and friends."
P139,EU,Spain,22,Female,2,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,5.0,6.0,2.0,2.0,1.0,3.0,3.0,5.4,2.0,"Financial stress is a constant, but I'm focusing on saving for the future."
P290,International,Pakistan,24,Female,1,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,
P026,UK,England,25,Male,1,4.0,4.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0,,5.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,3.2857142857142856,4.5,1.75,Rent and bills are my biggest worry right now.
P014,UK,England,32,Female,1,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,5.0,3.0,2.0,2.0,4.0,3.0,5.2,2.75,Rent and bills are my biggest worry right now.
P146,EU,Netherlands,27,Female,2,3.0,3.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,3.7142857142857144,4.0,1.5,"UK social scenes are quieter than I expected—more laid-back, but I've found great friends."
P194,EU,Germany,24,Male,2,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,2.142857142857143,3.4,1.25,"It's been challenging at times, but I'm proud of how much I've grown."
P200,EU,France,24,Female,1,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.2857142857142856,3.2,2.25,
P059,UK,England,25,Female,1,4.0,,3.0,3.0,4.0,2.0,3.0,3.0,4.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,3.5,7.0,1.75,"Finances are tight, but part-time work covers basics."
P226,International,Nigeria,26,Male,1,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.2857142857142856,4.6,4.75,Microaggressions like 'You're so articulate' make me feel tokenized.
P221,International,India,21,Female,2,4.0,4.0,5.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,2.0,1.0,3.0,4.285714285714286,4.4,2.25,Financial aid gaps force me to take on more debt.
P065,UK,Wales,24,Female,1,5.0,4.0,4.0,3.0,5.0,1.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,4.428571428571429,4.8,2.25,
P252,International,China,23,Male,2,1.0,2.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,2.6,5.0,"Family expects me to excel academically, adding pressure."
P205,EU,Spain,33,Female,2,4.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,1.0,2.0,2.0,1.0,4.714285714285714,4.8,1.5,"Missing family holidays, but I've made memories with new friends."
P053,UK,Scotland,28,Non-Binary,2,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,6.0,5.0,5.0,5.0,4.0,2.0,2.0,2.0,3.0,3.857142857142857,5.0,2.25,Food costs are a struggle; campus cafes are pricey.
P100,UK,England,26,Female,1,4.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,6.0,6.0,5.0,5.0,6.0,2.0,1.0,1.0,1.0,3.2857142857142856,5.6,1.25,"My flat has a great vibe, but maintenance is slow."
P035,UK,England,24,Female,2,4.0,4.0,5.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,2.0,2.0,2.0,2.0,4.285714285714286,4.8,2.0,I've made great friends through clubs and societies.
P079,UK,England,28,Female,2,4.0,5.0,5.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,4.428571428571429,4.0,1.0,Not really
P293,International,China,23,Female,2,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,,3.0,3.0,3.142857142857143,3.8,3.0,Microaggressions like 'You're so articulate' make me feel tokenized.
P121,UK,England,23,Female,1,4.0,4.0,4.0,2.0,3.0,2.0,,4.0,4.0,5.0,5.0,6.0,6.0,6.0,1.0,2.0,2.0,2.0,3.8333333333333335,5.6,1.75,I'd love more mental health resources on campus.
P185,EU,Poland,23,Male,1,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,3.7142857142857144,4.4,3.0,"The weather here is brutal, but I've adapted to the rhythm of grey skies."
P294,International,China,21,Female,2,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,5.0,4.0,6.0,5.0,4.0,3.0,4.0,,4.0,2.857142857142857,4.8,3.6666666666666665,Found comfort in online communities but still feel isolated.
P168,EU,Netherlands,24,Male,2,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.25,"Language nuances trip me up, but I'm getting better with practice."
P201,EU,France,24,Female,1,3.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,2.4285714285714284,4.2,2.0,"Financial stress is a constant, but I'm focusing on saving for the future."
P070,UK,England,25,Female,1,4.0,5.0,4.0,2.0,,2.0,5.0,4.0,4.0,5.0,6.0,7.0,6.0,6.0,1.0,1.0,1.0,1.0,4.333333333333333,6.0,1.0,I'm glad my accommodation is near campus.
P188,EU,Spain,21,Male,3,3.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.7142857142857144,4.0,2.5,
P174,EU,Poland,23,Female,2,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.4285714285714284,2.6,2.25,"Missing family holidays, but I've made memories with new friends."
P029,UK,England,28,Male,1,4.0,5.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,7.0,6.0,5.0,7.0,7.0,2.0,1.0,1.0,1.0,4.714285714285714,6.4,1.25,I'd like clearer guidelines on assignment deadlines.
P136,EU,Poland,24,Female,1,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,6.0,4.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,3.2857142857142856,5.0,2.25,"The UK's social scene is different, but I've found my niche in student groups."
P132,EU,Spain,29,Male,3,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,6.0,4.0,3.0,2.0,3.0,2.0,3.142857142857143,4.8,2.5,"The weather here is brutal, but I've adapted to the rhythm of grey skies."
P273,International,China,25,Male,3,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,4.6,2.75,
P166,EU,Netherlands,24,Male,2,2.0,2.0,2.0,4.0,1.0,5.0,3.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.8571428571428572,3.4,2.0,"Financial stress is a constant, but I'm focusing on saving for the future."
P210,EU,Spain,27,Female,1,3.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.5714285714285716,1.8,2.25,
P043,UK,England,26,Male,1,3.0,3.0,3.0,4.0,2.0,3.0,,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.6666666666666665,3.4,2.0,Socialising helps me stay focused; I'd do more if I had time.
P024,UK,England,33,Male,1,3.0,5.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,3.5714285714285716,4.6,1.0,"Lectures are engaging, but reading lists are overwhelming."
P092,UK,England,25,Male,2,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.4285714285714284,4.4,3.25,I miss home cooking but manage with budget meals.
P279,International,China,23,Female,2,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,3.2857142857142856,4.4,2.0,Microaggressions like 'You're so articulate' make me feel tokenized.
P183,EU,Spain,27,Female,2,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,3.0,3.0,2.5714285714285716,4.4,2.5,"Language nuances trip me up, but I'm getting better with practice."
P088,UK,England,22,Female,2,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,6.0,5.0,3.0,2.0,1.0,2.0,3.7142857142857144,5.0,2.0,I sometimes feel pressure to overcommit.
P042,UK,England,28,Male,1,4.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,3.142857142857143,4.4,2.5,
P101,UK,England,23,Female,1,2.0,2.0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,1.25,"Finances are tight, but part-time work covers basics."
P247,International,Nigeria,23,Male,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,4.0,6.0,1.0,1.0,2.0,1.0,3.0,5.4,1.25,Juggling visa deadlines and financial aid applications is overwhelming.
P095,UK,Scotland,22,Female,1,4.0,3.0,,1.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,3.8333333333333335,4.2,2.0,"Balancing studies and socialising is tricky, but I prioritise."
P076,UK,England,25,Non-Binary,1,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,7.0,7.0,6.0,5.0,6.0,3.0,3.0,3.0,3.0,3.4285714285714284,6.2,3.0,I've made great friends through clubs and societies.
P032,UK,England,25,Male,1,4.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,3.7142857142857144,3.8,1.0,"Group projects are stressful, but teamwork helps."
P191,EU,Germany,22,Female,1,5.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,6.0,4.0,5.0,6.0,2.0,1.0,2.0,1.0,4.0,5.2,1.5,"Financial stress sometimes creeps in, but part-time work helps."
P192,EU,Spain,23,Male,2,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,3.857142857142857,4.4,2.0,"Financial stress is manageable, but I sometimes worry about future costs."
P094,UK,England,28,Female,1,5.0,4.0,4.0,2.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,4.142857142857143,4.0,1.75,I'm glad my accommodation is near campus.
P046,UK,England,27,Male,2,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,6.0,6.0,6.0,6.0,5.0,2.0,2.0,1.0,1.0,3.857142857142857,5.8,1.5,"Finances are tight, but part-time work covers basics."
P162,EU,Germany,25,Male,1,3.0,4.0,2.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,2.0,3.0,2.0,2.0,3.2857142857142856,4.0,2.25,
P109,UK,England,23,Male,1,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.2857142857142856,3.4,2.5,Rent and bills are my biggest worry right now.
P106,UK,England,23,Female,1,4.0,5.0,4.0,3.0,5.0,1.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,1.0,4.428571428571429,4.6,1.5,"Lectures are engaging, but reading lists are overwhelming."
P150,EU,Poland,27,Male,1,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,3.142857142857143,5.0,3.0,
P030,UK,England,21,Male,1,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,2.0,3.0,2.0,2.0,3.5714285714285716,5.8,2.25,Socialising helps me stay focused; I'd do more if I had time.
P182,EU,Poland,24,Female,2,4.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,3.5714285714285716,4.6,2.25,
