participant_id,student_group,student_group_code,nationality,nationality_code,age,gender,gender_code,year_of_study,wellbeing_mean,belonging_mean,discrimination_mean,open_response
P152,EU,2,Germany,5,29,Female,1,1,2.4285714285714284,3.4,3.25,"It's been challenging at times, but I'm proud of how much I've grown."
P001,UK,1,England,3,24,Male,2,2,3.0,4.8,1.25,I'd like clearer guidelines on assignment deadlines.
P268,International,3,China,2,24,Male,2,1,3.857142857142857,5.4,2.5,"Some professors assume I lack motivation, which isn't true."
P256,International,3,Brazil,1,29,Male,2,2,4.428571428571429,5.4,2.0,"Cultural adjustment is tough, but I'm learning to navigate it."
P277,International,3,India,6,28,Female,1,2,1.7142857142857142,2.4,2.0,Microaggressions like 'You're so articulate' make me feel tokenized.
P263,International,3,Nigeria,11,26,Female,1,2,3.4285714285714284,3.0,2.75,"Discrimination in campus services, like being ignored by staff."
P300,International,3,Pakistan,13,25,Male,2,2,4.428571428571429,3.6,2.5,"Cultural adjustment is tough, but I'm learning to navigate it."
P089,UK,1,England,3,22,Female,1,2,3.7142857142857144,5.2,2.0,
P078,UK,1,England,3,25,Female,1,3,3.4285714285714284,6.4,1.75,Socialising helps me stay focused; I'd do more if I had time.
P124,UK,1,Wales,20,24,Female,1,1,2.7142857142857144,5.2,2.25,I feel supported by my peers and staff.
P096,UK,1,England,3,26,Female,1,1,4.0,5.75,1.5,
P295,International,3,China,2,21,Male,2,3,3.4285714285714284,3.6,1.75,
P012,UK,1,England,3,21,Male,2,2,3.7142857142857144,6.75,1.75,Budgeting is a skill I'm still learning.
P115,UK,1,Scotland,16,27,Female,1,1,3.142857142857143,6.0,2.0,"Finances are tight, but part-time work covers basics."
P258,International,3,India,6,23,Male,2,2,2.0,3.4,3.5,"Family expects me to excel academically, adding pressure."
P220,International,3,Pakistan,13,21,Male,2,1,2.857142857142857,4.2,4.0,"It's lonely sometimes, but I remind myself why I'm here."
P253,International,3,Pakistan,13,21,Female,1,2,3.857142857142857,5.2,2.75,"The workload combined with cultural adjustment is exhausting, but I'm pushing through."
P286,International,3,India,6,26,Female,1,2,2.857142857142857,3.8,2.75,
P262,International,3,Pakistan,13,21,Male,2,1,2.5714285714285716,2.6,3.25,
P179,EU,2,Poland,14,23,Female,1,3,4.571428571428571,5.6,1.75,"Adjusting to UK culture has been smooth, but I miss my family's food and warm evenings at home."
P020,UK,1,Northern Ireland,12,26,Female,1,1,2.5714285714285716,4.4,2.25,Not really
P170,EU,2,Spain,18,22,Non-Binary,3,3,2.7142857142857144,4.2,2.25,"Missing family holidays, but I've made memories with new friends."
P240,International,3,Malaysia,9,26,Male,2,1,2.5714285714285716,2.4,3.25,"Missing family dearly, especially holidays."
P161,EU,2,Germany,5,24,Female,1,1,3.4285714285714284,4.6,3.0,"Adjusting to the pace of life here is harder than I thought, but I'm getting better."
P074,UK,1,England,3,28,Female,1,1,3.5714285714285716,5.8,1.0,I sometimes feel pressure to overcommit.
P018,UK,1,England,3,23,Female,1,2,2.7142857142857144,4.2,1.5,Nothing to add
P063,UK,1,England,3,23,Female,1,2,3.857142857142857,3.8,1.25,I miss home cooking but manage with budget meals.
P250,International,3,China,2,28,Non-Binary,3,1,3.0,3.0,2.75,My home country's expectations weigh heavily on my mental health.
P229,International,3,Nigeria,11,24,Male,2,2,2.5714285714285716,4.6,2.5,I wish there were more culturally inclusive events on campus.
P239,International,3,Malaysia,9,25,Female,1,1,2.7142857142857144,2.8,2.0,"Missing family dearly, especially holidays."
P230,International,3,Nigeria,11,24,Female,1,3,2.142857142857143,2.6,3.75,
P048,UK,1,England,3,21,Female,1,2,3.142857142857143,5.4,1.0,"Workload's tough, but I manage with time blocks and support groups."
P251,International,3,China,2,22,Male,2,2,3.142857142857143,3.0,3.0,I wish there were more culturally inclusive events on campus.
P080,UK,1,Scotland,16,23,Female,1,1,3.5714285714285716,4.8,1.0,Nothing to add
P291,International,3,China,2,24,Female,1,2,2.4285714285714284,4.0,2.5,
P021,UK,1,England,3,25,Non-Binary,3,3,4.166666666666667,7.0,1.25,"Workload's tough, but I manage with time blocks and support groups."
P141,EU,2,Sweden,19,23,Male,2,3,3.142857142857143,4.2,1.75,"UK social life feels more formal than in Spain, but I'm learning to navigate it."
P193,EU,2,Sweden,19,26,Female,1,1,3.4285714285714284,3.4,3.25,"Adjusting to UK culture has been smooth, but I miss my family's food and warm evenings at home."
P131,EU,2,Germany,5,25,Female,1,1,4.571428571428571,5.8,1.0,"UK social life feels more formal than in Spain, but I'm learning to navigate it."
P216,International,3,India,6,28,Female,1,2,3.857142857142857,2.8,3.0,Struggling with language barriers and feeling excluded in social groups.
P245,International,3,India,6,21,Female,1,3,2.5714285714285716,3.6,3.25,"Financial stress forces me to work extra hours, affecting study time."
P060,UK,1,Northern Ireland,12,21,Female,1,1,3.5714285714285716,5.6,1.75,Workshops on time management would be helpful.
P222,International,3,China,2,24,Female,1,1,3.5714285714285716,3.0,2.25,"Some classmates make assumptions about my background, which is frustrating."
P177,EU,2,Sweden,19,28,Male,2,1,3.5714285714285716,4.4,3.25,"The weather here is brutal, but I've adapted to the rhythm of grey skies."
P056,UK,1,England,3,25,Male,2,1,3.857142857142857,6.0,2.0,I sometimes feel pressure to overcommit.
P292,International,3,China,2,26,Male,2,2,3.5714285714285716,2.4,1.75,Juggling visa deadlines and financial aid applications is overwhelming.
P255,International,3,Malaysia,9,28,Male,2,1,2.7142857142857144,3.4,3.75,Missing family's cooking and traditions deeply affects my mood.
P198,EU,2,Italy,7,26,Female,1,1,4.142857142857143,4.0,2.75,"Financial stress sometimes creeps in, but part-time work helps."
P069,UK,1,Scotland,16,24,Male,2,2,5.0,6.2,1.0,"My accommodation is modern, but rent's rising fast."
P211,EU,2,France,4,21,Non-Binary,3,2,3.5714285714285716,3.4,4.25,"The language is a hurdle, but I'm improving thanks to language apps and friends."
P233,International,3,China,2,22,Female,1,1,4.142857142857143,5.0,1.0,"Made friends who've helped me adapt, but systemic bias remains."
P202,EU,2,Portugal,15,26,Male,2,1,3.142857142857143,5.6,1.75,"Adjusting to UK culture took time, but the support from my university made it easier."
P169,EU,2,Spain,18,21,Male,2,2,3.857142857142857,7.0,1.0,"Missing my family's celebrations, but I've created new traditions here."
P186,EU,2,Spain,18,25,Male,2,1,3.4285714285714284,4.0,2.0,"Financial stress is a constant, but I'm focusing on saving for the future."
P036,UK,1,England,3,21,Female,1,1,3.7142857142857144,4.8,1.25,"Finances are tight, but part-time work covers basics."
P130,UK,1,Wales,20,23,Female,1,1,3.857142857142857,4.0,2.0,I'd love more mental health resources on campus.
